num_bodies,runtime_sec,omp_best_sec,gpu_best_sec
64,0.373971,0.611843,0.00049
512,13.3081,5.5455,0.001653
1024,50.8932,14.3057,0.002999
2048,198.799,30.2321,0.005753
4096,3500.88,108.101,0.011233
